dateTime,hitName,rotation,distance,frame,%replayed,toUse
22-07-07_23-45-48,streetLight2 (29),31,15,3844,2,0
22-07-07_23-45-48,streetLight2 (29),36,4,3849,2,0
22-07-07_23-45-48,streetLight2 (29),36,4,3854,2,0
22-07-07_23-45-49,streetLight2 (29),36,4,3859,2,0
22-07-07_23-45-49,streetLight2 (29),36,4,3864,2,0
22-07-07_23-45-49,streetLight2 (29),36,4,3869,2,0
22-07-07_23-45-50,streetLight2 (29),36,4,3874,2,0
22-07-07_23-45-50,streetLight2 (29),36,4,3879,2,0
22-07-07_23-45-50,streetLight2 (29),36,4,3884,2,0
22-07-07_23-45-51,streetLight2 (29),36,4,3894,2,0
22-07-07_23-45-51,streetLight2 (29),36,4,3899,2,0
22-07-07_23-45-51,streetLight2 (29),36,4,3904,2,0
22-07-07_23-45-59,streetLight2 (29),63,28,4509,2,0
22-07-07_23-46-00,streetLight2 (29),35,4,4514,2,0
22-07-07_23-46-00,streetLight2 (29),29,14,4549,2,0
22-07-07_23-46-01,streetLight2 (29),34,4,4554,2,0
22-07-07_23-46-01,streetLight2 (29),35,4,4559,2,0
22-07-07_23-46-01,streetLight2 (29),34,4,4564,2,0
22-07-07_23-46-02,streetLight2 (29),35,4,4569,2,0
22-07-07_23-46-02,streetLight2 (29),35,4,4583,2,0
22-07-07_23-46-02,streetLight2 (29),38,4,4595,2,0
22-07-07_23-46-03,streetLight2 (29),36,4,4600,2,0
22-07-07_23-46-06,streetLight2 (29),27,15,4791,2,0
22-07-07_23-46-06,streetLight2 (29),38,6,4796,2,0
22-07-07_23-46-06,streetLight2 (29),38,6,4807,2,0
22-07-07_23-46-06,streetLight2 (29),37,6,4812,2,0
22-07-07_23-46-08,streetLight2 (29),30,16,4912,3,0
22-07-07_23-46-08,streetLight2 (29),41,18,4917,3,0
22-07-07_23-46-09,streetLight2 (29),40,6,4932,3,0
22-07-07_23-46-09,streetLight2 (29),37,6,4937,3,0
22-07-07_23-46-10,streetLight2 (29),37,6,4969,3,0
22-07-07_23-46-10,streetLight2 (29),159,3,4974,3,0
22-07-07_23-46-10,streetLight2 (29),159,3,4979,3,0
22-07-07_23-46-11,streetLight2 (29),160,3,4984,3,0
22-07-07_23-46-11,streetLight2 (29),161,3,4989,3,0
22-07-07_23-46-11,streetLight2 (29),159,3,4996,3,0
22-07-07_23-46-12,streetLight2 (29),157,3,5001,3,0
22-07-07_23-46-12,streetLight2 (29),38,5,5006,3,0
22-07-07_23-46-12,streetLight2 (29),38,5,5011,3,0
22-07-07_23-46-13,streetLight2 (29),38,5,5016,3,0
22-07-07_23-46-13,streetLight2 (29),38,5,5021,3,0
22-07-07_23-46-13,streetLight2 (29),38,5,5026,3,0
22-07-07_23-46-13,streetLight2 (29),37,4,5031,3,0
22-07-07_23-46-14,streetLight2 (29),37,4,5036,3,0
22-07-07_23-46-14,streetLight2 (29),37,4,5041,3,0
22-07-07_23-46-14,streetLight2 (29),37,4,5046,3,0
22-07-07_23-46-15,streetLight2 (29),37,4,5065,3,0
22-07-07_23-46-16,streetLight2 (29),60,24,5143,3,0
22-07-07_23-46-16,streetLight2 (29),34,3,5148,3,0
22-07-07_23-46-17,streetLight2 (29),33,3,5153,3,0
22-07-07_23-46-18,streetLight2 (29),26,13,5186,3,0
22-07-07_23-46-18,streetLight2 (29),35,3,5191,3,0
22-07-07_23-46-18,streetLight2 (29),35,3,5196,3,0
22-07-07_23-46-18,streetLight2 (29),35,3,5201,3,0
22-07-07_23-46-19,streetLight2 (29),35,3,5206,3,0
22-07-07_23-46-19,streetLight2 (29),35,3,5211,3,0
22-07-07_23-46-19,streetLight2 (29),35,3,5216,3,0
22-07-07_23-46-20,streetLight2 (29),28,14,5260,3,0
22-07-07_23-46-20,streetLight2 (29),37,5,5266,3,0
22-07-07_23-46-21,streetLight2 (29),37,5,5271,3,0
22-07-07_23-46-21,streetLight2 (29),37,5,5276,3,0
22-07-07_23-46-21,streetLight2 (29),37,5,5281,3,0
22-07-07_23-46-22,streetLight2 (29),37,6,5297,3,0
22-07-07_23-46-22,streetLight2 (29),37,6,5304,3,0
22-07-07_23-46-23,streetLight2 (29),33,17,5346,3,0
22-07-07_23-46-23,streetLight2 (29),39,7,5351,3,0
22-07-07_23-46-24,streetLight2 (29),39,7,5356,3,0
22-07-07_23-46-24,streetLight2 (29),39,7,5361,3,0
22-07-07_23-46-24,streetLight2 (29),39,7,5366,3,0
22-07-07_23-46-24,streetLight2 (29),39,7,5371,3,0
22-07-07_23-46-25,streetLight2 (29),39,7,5376,3,0
22-07-07_23-46-25,streetLight2 (29),39,7,5381,3,0
22-07-07_23-46-25,streetLight2 (29),39,7,5386,3,0
22-07-07_23-46-26,streetLight2 (29),39,7,5391,3,0
