dateTime,hitName,rotation,distance,frame,%replayed,toUse
22-08-04_19-29-31,New_NPC (78)(Clone),34,20,71812,43,0
22-08-04_19-29-32,New_NPC (78)(Clone),34,20,71818,43,0
22-08-04_19-29-32,New_NPC (78)(Clone),34,20,71823,43,0
22-08-04_19-29-32,New_NPC (78)(Clone),34,20,71828,43,0
22-08-04_19-29-33,New_NPC (78)(Clone),34,20,71833,43,0
22-08-04_19-29-33,New_NPC (78)(Clone),34,20,71838,43,0
22-08-04_19-29-33,New_NPC (78)(Clone),33,20,71843,43,0
22-08-04_19-29-34,New_NPC (78)(Clone),33,20,71848,43,0
22-08-04_19-29-34,New_NPC (78)(Clone),33,19,71853,43,0
22-08-04_19-29-34,New_NPC (78)(Clone),32,19,71858,43,0
22-08-04_19-29-35,New_NPC (78)(Clone),32,19,71864,43,0
22-08-04_19-29-35,New_NPC (78)(Clone),32,19,71869,43,0
22-08-04_19-29-35,New_NPC (78)(Clone),31,19,71874,43,0
22-08-04_19-29-36,New_NPC (78)(Clone),31,19,71879,43,0
22-08-04_19-29-36,New_NPC (78)(Clone),31,19,71884,43,0
22-08-04_19-29-37,New_NPC (78)(Clone),31,19,71889,43,0
22-08-04_19-29-37,New_NPC (78)(Clone),30,19,71894,43,0
22-08-04_19-29-37,New_NPC (78)(Clone),30,19,71899,43,0
22-08-04_19-29-38,New_NPC (78)(Clone),30,19,71906,43,0
22-08-04_19-29-38,New_NPC (78)(Clone),28,18,71911,43,0
22-08-04_19-29-39,New_NPC (99)(Clone),59,32,71953,43,0
22-08-04_19-29-39,New_NPC (99)(Clone),70,47,71959,43,0
22-08-04_19-29-40,New_NPC (99)(Clone),70,47,71964,43,0
22-08-04_19-29-40,New_NPC (99)(Clone),70,47,71973,43,0
22-08-04_19-29-40,New_NPC (99)(Clone),71,48,71978,43,0
22-08-04_19-29-41,New_NPC (99)(Clone),70,48,71986,43,0
22-08-04_19-29-41,New_NPC (99)(Clone),71,48,71991,43,0
22-08-04_19-29-41,New_NPC (99)(Clone),71,50,71997,43,0
22-08-04_19-29-42,NPC-616,71,49,72010,44,0
22-08-04_19-29-46,New_NPC (1),89,92,72224,44,0
22-08-04_19-29-46,New_NPC (1),70,88,72229,44,0
22-08-04_19-29-46,New_NPC (1),70,88,72234,44,0
22-08-04_19-29-47,New_NPC (1),70,88,72240,44,0
22-08-04_19-29-47,New_NPC (1),70,88,72245,44,0
22-08-04_19-29-47,New_NPC (1),70,88,72251,44,0
22-08-04_19-29-51,New_NPC (1),85,33,72408,44,0
22-08-04_19-29-51,New_NPC (1),84,68,72413,44,0
22-08-04_19-29-51,New_NPC (1),83,77,72418,44,0
22-08-04_19-29-52,New_NPC (1),83,86,72424,44,0
22-08-04_19-30-00,New_NPC (99)(Clone),85,7,72896,44,0
22-08-04_19-30-00,New_NPC (99)(Clone),87,72,72901,44,0
22-08-04_19-30-01,New_NPC (99)(Clone),87,72,72906,44,0
22-08-04_19-30-01,New_NPC (99)(Clone),88,90,72912,44,0
22-08-04_19-30-01,New_NPC (99)(Clone),178,95,72917,44,0
22-08-04_19-30-02,New_NPC (99)(Clone),172,98,72922,44,0
22-08-04_19-30-02,New_NPC (99)(Clone),172,98,72928,44,0
22-08-04_19-30-02,NPC-616,172,99,72931,44,0
22-08-04_19-30-08,New_NPC (42),77,45,73244,44,0
22-08-04_19-30-08,New_NPC (42),78,65,73250,44,0
22-08-04_19-30-09,New_NPC (42),78,64,73255,44,0
22-08-04_19-30-09,New_NPC (42),78,46,73260,44,0
22-08-04_19-30-09,New_NPC (42),78,46,73265,44,0
22-08-04_19-30-15,NPC-616,69,52,73599,44,0
22-08-04_19-30-16,NPC-616,165,26,73604,44,0
22-08-04_19-30-16,NPC-616,165,26,73609,44,0
