dateTime,hitName,rotation,distance,frame,%replayed,toUse
22-07-07_21-39-19,B001,48,23,114010,69,0
22-07-07_21-39-20,B001,38,19,114015,69,0
22-07-07_21-39-20,B001,38,19,114020,69,0
22-07-07_21-39-21,B001,38,19,114025,69,0
22-07-07_21-39-21,B001,38,19,114034,69,0
22-07-07_21-39-21,B001,37,19,114039,69,0
22-07-07_21-39-22,B001,37,19,114044,69,0
22-07-07_21-39-22,B001,37,19,114053,69,0
22-07-07_21-39-22,B001,30,17,114058,69,0
22-07-07_21-39-23,B001,30,17,114065,69,0
22-07-07_21-39-23,B001,32,17,114070,69,0
22-07-07_21-39-23,B001,32,18,114075,69,0
22-07-07_21-39-24,B001,32,18,114080,69,0
22-07-07_21-39-24,B001,32,17,114085,69,0
22-07-07_21-39-24,B001,32,18,114092,69,0
22-07-07_21-39-25,B001,27,17,114097,69,0
22-07-07_21-39-25,B001,27,17,114102,69,0
22-07-07_21-39-25,B017 (3),27,17,114117,69,0
22-07-07_21-39-26,B017 (3),46,22,114122,69,0
22-07-07_21-39-26,B001,46,22,114150,69,0
22-07-07_21-39-27,B001,38,19,114155,69,0
22-07-07_21-39-27,B001,38,19,114160,69,0
22-07-07_21-39-27,B001,38,19,114165,69,0
22-07-07_21-39-28,B001,38,19,114170,69,0
22-07-07_21-39-28,B001,38,19,114175,69,0
22-07-07_21-39-28,B001,38,19,114180,69,0
22-07-07_21-39-29,B017 (3),38,19,114206,69,0
22-07-07_21-39-29,B017 (3),51,24,114211,69,0
22-07-07_21-39-31,B22 1 (3),73,32,114307,69,0
22-07-07_21-39-31,B22 1 (3),62,33,114312,69,0
22-07-07_21-39-32,B22 1 (3),76,60,114357,69,0
22-07-07_21-39-32,B22 1 (3),61,31,114362,69,0
22-07-07_21-39-32,B22 1 (3),61,31,114367,69,0
22-07-07_21-39-33,B22 1 (3),61,31,114372,69,0
22-07-07_21-39-33,B22 1 (3),61,31,114377,69,0
22-07-07_21-39-33,B22 1 (3),60,30,114382,69,0
22-07-07_21-39-34,B22 1 (3),60,30,114387,69,0
22-07-07_21-39-34,B22 1 (3),60,30,114392,69,0
22-07-07_21-39-34,B22 1 (3),60,30,114397,69,0
22-07-07_21-39-35,B22 1 (3),60,30,114402,69,0
22-07-07_21-39-35,B22 1 (3),60,30,114407,69,0
22-07-07_21-39-35,B22 1 (3),60,29,114412,69,0
22-07-07_21-39-36,B22 1 (3),60,29,114421,69,0
22-07-07_21-39-36,B22 1 (3),63,32,114426,69,0
22-07-07_21-39-36,B22 1 (3),63,32,114431,69,0
22-07-07_21-39-37,B22 1 (3),63,32,114436,69,0
22-07-07_21-39-37,B22 1 (3),63,32,114441,69,0
22-07-07_21-39-37,B22 1 (3),63,32,114446,69,0
22-07-07_21-39-38,B22 1 (3),63,31,114451,69,0
22-07-07_21-39-38,B22 1 (3),63,31,114456,69,0
22-07-07_21-39-38,B22 1 (3),64,32,114461,69,0
22-07-07_21-39-39,B22 1 (3),64,32,114466,69,0
22-07-07_21-39-39,B22 1 (3),64,32,114471,69,0
22-07-07_21-39-39,B22 1 (3),64,32,114476,69,0
22-07-07_21-39-40,B22 1 (3),64,32,114481,69,0
22-07-07_21-39-40,B22 1 (3),64,32,114486,69,0
22-07-07_21-39-40,B22 1 (3),64,31,114491,69,0
22-07-07_21-39-41,B22 1 (3),62,30,114496,69,0
22-07-07_21-39-41,B22 1 (3),62,30,114501,69,0
22-07-07_21-39-41,B22 1 (3),62,30,114506,69,0
22-07-07_21-39-42,B22 1 (3),62,30,114511,69,0
22-07-07_21-39-42,B22 1 (3),62,29,114516,69,0
22-07-07_21-39-42,B22 1 (3),63,30,114521,69,0
22-07-07_21-39-43,B22 1 (3),63,30,114526,69,0
22-07-07_21-39-43,B22 1 (3),63,30,114531,69,0
22-07-07_21-39-43,B22 1 (3),63,30,114536,69,0
22-07-07_21-39-46,B017 (3),52,7,114697,70,0
22-07-07_21-39-46,B017 (3),32,14,114702,70,0
22-07-07_21-39-47,B001,31,14,114747,70,0
22-07-07_21-39-47,B001,21,12,114752,70,0
22-07-07_21-39-47,B001,20,12,114759,70,0
22-07-07_21-39-48,B001,21,12,114764,70,0
22-07-07_21-39-48,B001,20,12,114769,70,0
22-07-07_21-39-48,B001,20,12,114774,70,0
22-07-07_21-39-49,B011 (2),42,8,114853,70,0
22-07-07_21-39-50,B011 (2),72,38,114858,70,0
22-07-07_21-39-50,B011 (2),72,38,114863,70,0
22-07-07_21-39-50,B011 (2),72,37,114868,70,0
22-07-07_21-39-51,BridgeSlope_Simple (1),77,24,114903,70,0
22-07-07_21-39-51,BridgeSlope_Simple (1),82,66,114908,70,0
22-07-07_21-39-52,BridgeSlope_Simple (1),99,65,114913,70,0
22-07-07_21-39-52,5 (3),81,66,114921,70,0
22-07-07_21-39-52,5 (3),81,66,114926,70,1
22-07-07_21-39-53,5 (3),81,66,114931,70,0
22-07-07_21-39-53,5 (3),81,66,114936,70,0
